Calendar	avoikoi	avsettlements	avcoastsettl	avinlandsettl	avelevation	avtradeflow	avtradedistance	avmigrations	avecultivated	RAI
1350	200	40	21	19	490,9633333	188,36	107,79	3,61	2	2,844623372
1349	189,9	39,93548387	20,96666667	19	491,1657479	187,8031	108,56	4	2,772896467	2,886643112
1348	188,4	39,90322581	20,93333333	19	491,4574823	185,28	109,26	4	2,828675981	2,928662852
1347	188,6333333	39,90322581	20,93333333	19	491,4574823	184,9655172	106,335656	5,444444444	2,811626856	2,928662852
1346	188,6333333	39,83870968	20,83333333	19,03333333	491,6198016	186,4827586	109,5721128	5,925925926	2,801509863	2,886643112
1345	189,1333333	39,77419355	20,8	19	491,1741819	186,6206897	108,1323904	5,666666667	2,791925263	2,886643112
1344	189,4	39,67741935	20,73333333	18,96666667	491,5910697	187,3793103	108,0011182	4,962962963	2,778769099	2,886643112
1343	188,6333333	39,67741935	20,73333333	18,96666667	491,5910697	188,2068966	109,6044609	4,777777778	2,763257426	2,886643112
1342	189,1333333	39,80645161	20,83333333	19	490,5748142	187,3793103	108,8701019	5,37037037	2,746241691	2,844623372
1341	189,3666667	39,67741935	20,8	18,9	490,3342815	187,8275862	108,1821049	5,481481481	2,738215695	2,802603632
1340	190,9666667	39,70967742	20,8	18,93333333	490,4285763	188,2068966	108,0503056	5,481481481	2,725049117	2,802603632
1339	190,6333333	39,87096774	20,9	19	490,6684737	189,5172414	108,4351129	5,888888889	2,718662369	2,760583892
1338	191,8333333	39,77419355	20,83333333	18,96666667	489,8968587	189,0689655	108,5980342	5,444444444	2,711376145	2,718564151
1337	191,7666667	39,67741935	20,8	18,9	489,0230015	190,5517241	108,7993749	5,333333333	2,700162602	2,718564151
1336	191,2666667	39,70967742	20,83333333	18,9	489,3977837	190,3448276	108,6176559	5,481481481	2,69318717	2,676544411
1335	190,7	39,70967742	20,83333333	18,93333333	491,0107189	189,6896552	108,2902691	5,333333333	2,685981256	2,634524671
1334	190,2333333	39,51612903	20,63333333	18,93333333	492,7134433	189,3103448	108,4380441	5,148148148	2,680809219	2,634524671
1333	189,2333333	39,5483871	20,63333333	18,96666667	493,0094307	189,3448276	109,0138591	4,888888889	2,670512562	2,592504931
1332	189,5666667	39,61290323	20,66666667	19	493,7708452	188,6551724	108,6207826	4,814814815	2,65771276	2,592504931
1331	188,3333333	39,70967742	20,76666667	19	493,3936052	188,6896552	107,4137046	4,962962963	2,650443851	2,634524671
