MaxDebt	StorageCapacity	FAF	MaritimeFoodResources	OtherCalorieSources	RainfallVariability	RecoverRate	DepletionRate	DegradationFactor	Oikoi	Settlements	CoastalSettlements	InlandSettlements	Migrations	AreaCultivated	CommercialExchanges	TradeDistance
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	146	28	11	17	5	2,606017212	143	95,50030584
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	129	34	15	19	6	2,569247909	123	106,5497006
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	181	34	12	22	5	2,564516508	177	87,70534867
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	178	31	18	13	5	2,474476589	178	99,45427976
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	174	37	16	21	4	2,547406323	178	105,0922602
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	170	36	18	18	6	2,541989952	173	93,5588134
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	204	36	15	21	6	2,476690325	199	117,5959387
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	220	41	19	22	3	2,56812435	214	106,9084605
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	112	32	20	12	2	2,540818961	113	101,238729
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	209	39	16	23	5	2,474219962	209	110,1969613
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	134	32	13	19	4	2,570366318	136	114,9822766
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	194	34	20	14	3	2,516582827	195	96,4790035
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	119	36	20	16	7	2,509455765	119	93,19364413
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	124	29	14	15	5	2,55229379	122	104,6144705
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	219	36	17	19	3	2,512125416	212	112,4416268
1	1,5	1	0,2	0,1	0,05	0,1	0,3	0	152	30	15	15	6	2,567841948	147	96,75587177
